StoreNumber,Store,Street,City,State,Zip,Latitude,Longitude
4171610,Dominos,275 N ST RT 2,New Martinsville,WV,26155,39.6445214,-80.8575993
4171550,Dominos,2402 State Rd,La Crosse,WI,54601,43.7741331,-91.2222805
4171508,Dominos,106 Shaler Dr,Waupun,WI,53963,43.6402416,-88.7210059
4168794,Dominos,518 US Route 1,Kittery,ME,3904,43.1159394,-70.7024832
4169205,Dominos,2522 Grand Ave,Billings,MT,59102,45.7888857,-108.5908853
4169467,Dominos,419 Amherst St,Nashua,NH,3063,42.7795584,-71.5130445
4169463,Dominos,254 N Broadway,Salem,NH,3079,42.7699983,-71.2213156
4170519,Dominos,741 Main Ste 1,Spearfish,SD,57783,44.4921717,-103.851753
4166717,Dominos,8019 US Hwy 31,Hanceville,AL,35077,34.0606545,-86.767498
4166853,Dominos,3510 W Bell Rd,Phoenix,AZ,85053,33.6396892,-112.1330653
4167370,Dominos,5524 York Blvd,Los Angeles,CA,90042,34.1192369,-118.1972691
4167073,Dominos,2138 Spring St,Paso Robles,CA,93446,35.640833,-120.653889
4167366,Dominos,3006 State St.,Santa Barbara,CA,93101,34.4208305,-119.6981901
4166960,Dominos,1937 Tyler Ave,South El Monte,CA,91733,34.0510718,-118.0376209
4166932,Dominos,1571 Geer Road,Turlock,CA,95380,37.4946568,-120.8465941
4166913,Dominos,2521 N Main St,Walnut Creek,CA,94597,37.9093673,-122.0558176
4167406,Dominos,3521 W 10th St,Greeley,CO,80634,40.3962637,-104.7871004
4167388,Dominos,811 E Main St.,Montrose,co,81401,38.4785928,-107.86821
4167485,Dominos,1244 Storrs Rd,Storrs Mansfield,CT,6268,41.8084314,-72.2495231
4167866,Dominos,1093 W Main St,Avon Park,FL,33825,27.5958672,-81.5061862
4167855,Dominos,812 17th Ave W,Bradenton,FL,34205,27.464877,-82.571062
4167793,Dominos,25 Nw 16th Ave,Gainesville,FL,32601,29.666628,-82.3319996
4167782,Dominos,1615 Ne 8th St,Homestead,FL,69138,40.922418,-100.1529433
4167695,Dominos,1933 Ortega St,Navarre,FL,32566,30.4109342,-86.9123217
4167878,Dominos,6975 66th St N,Pinellas Park,FL,33781,27.8355297,-82.7130376
4167600,Dominos,3692 Webber St,Sarasota,FL,34232,27.3179573,-82.4975314
4167593,Dominos,4925 34th St S,St. Petersburg,FL,33711,27.7374908,-82.6861446
